SampleName,Tag ID,Tag Color,Species,Timepoint,...6,Date,Collection Species,Location,Depth,Notes,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.D,B.D,C.D,qpcrRun,Dominant,propD,logPropD,Reef,Latitude,Longitude
101NI,16,Blue,Ppor,Initial,NA,2019-09-26T00:00:00Z,Ppor,RR4,21,NA,RK_NSF_SYM_Initials_12.csv,NaN,NaN,27.361358489990234,NaN,NA,NA,0.06600263911763622,NA,0,0,2,0,NaN,NaN,NaN,12,C,0,-7,Rainbow,25 41.482 N,80 5.830 W
102NI,55,Blue,Sint,Initial,NA,2019-09-26T00:00:00Z,Sint,RR4,22,NA,RK_NSF_SYM_Initials_13.csv,29.71463762664795,NaN,31.06018814086914,36.979713439941406,0.6508646778344582,NA,0.8312140771856665,NA,2,0,2,1,461.45249160375687,NaN,7.89492654791885,13,A,0,-7,Rainbow,25 41.482 N,80 5.830 W
104NI,42,Blue,Dlab,Initial,NA,2019-09-26T00:00:00Z,Dlab,RR1,23,NA,RK_NSF_Sym_Initials_18.csv,36.566464294433594,NaN,28.047626342773437,NaN,NA,NA,0.8131361137475858,NA,1,0,2,0,NaN,NaN,NaN,18,C,0,-7,Rainbow,25 41.594 N,80 5.832 W
106NI,32,Blue,Ppor,Initial,NA,2019-09-26T00:00:00Z,Ppor,RR4,19,NA,RK_NSF_SYM_Initials_12.csv,NaN,32.287757873535156,30.340595092773437,35.31704330444336,NA,NA,0.3808780354198566,NA,0,1,2,1,NaN,24.49215700886315,4.106327677063538,12,C,0,-7,Rainbow,25 41.482 N,80 5.830 W
107NI,27,Blue,Ppor,Initial,NA,2019-09-26T00:00:00Z,Ppor,RR4,21,NA,RK_NSF_SYM_Initials_12.csv,39.412331451416016,NaN,30.20289405822754,36.70257759094238,NA,NA,0.1808254901519874,0.7170412991427474,1,0,2,2,0.4585683342256829,NaN,11.803019492968351,12,C,0.07810657482394821,-1.1073124067171165,Rainbow,25 41.482 N,80 5.830 W
108NI,53,Blue,Sint,Initial,NA,2019-09-26T00:00:00Z,Sint,RR4,22,NA,RK_NSF_SYM_Initials_13.csv,31.191538681030273,NaN,32.39992698669434,36.22319793701172,0.2664490045379912,NA,0.1273091077867946,NA,2,0,2,1,98.12995930271039,NaN,1.8463441567286178,13,A,0,-7,Rainbow,25 41.482 N,80 5.830 W
109NI,44,Blue,Ppor,Initial,NA,2019-09-26T00:00:00Z,Ppor,RR4,23,NA,RK_NSF_SYM_Initials_20.csv,36.43036924743652,31.821151733398438,27.455063667297363,NaN,0.978764461850909,NA,0.8299881096561816,NA,2,1,2,0,NaN,NaN,NaN,20,C,0,-7,Rainbow,25 41.482 N,80 5.830 W
10NI,16,Green,Past,Initial,NA,2019-09-15T00:00:00Z,Past,EM5,26,NA,RK_NSF_SYM_Initials_10.csv,34.163538803100586,NaN,NaN,37.08314514160156,1.1629320285024163,NA,NA,NA,2,0,0,1,22.69918885400146,NaN,NaN,10,A,0,-7,Emerald,25 40.641 N,80 5.843 W
110NI,14,Blue,Sint,Initial,NA,2019-09-26T00:00:00Z,Sint,RR4,28,NA,RK_NSF_SYM_Initials_13.csv,30.61432253265381,NaN,32.91058715820313,NaN,0.41352329840245466,NA,0.37768431582709505,NA,2,0,2,0,NaN,NaN,NaN,13,A,0,-7,Rainbow,25 41.482 N,80 5.830 W
111NI,15,Blue,Sint,Initial,NA,2019-09-26T00:00:00Z,Sint,RR4,25,NA,RK_NSF_SYM_Initials_13.csv,28.731555809020996,NaN,NaN,NaN,0.25047366307842195,NA,NA,NA,2,0,0,0,NaN,NaN,NaN,13,A,0,-7,Rainbow,25 41.482 N,80 5.830 W
112NI,25,Blue,Sint,Initial,NA,2019-09-26T00:00:00Z,Sint,RR4,20,NA,RK_NSF_SYM_Initials_13.csv,29.209450592041016,NaN,NaN,NaN,0.2032381726657166,NA,NA,NA,2,0,0,0,NaN,NaN,NaN,13,A,0,-7,Rainbow,25 41.482 N,80 5.830 W
113NI,8,Blue,Ppor,Initial,NA,2019-09-26T00:00:00Z,Ppor,RR4,19,NA,RK_NSF_SYM_Initials_12.csv,NaN,NaN,28.08321937561035,NaN,NA,NA,0.32903134260527134,NA,0,0,2,0,NaN,NaN,NaN,12,C,0,-7,Rainbow,25 41.482 N,80 5.830 W
114NI,5,Blue,Dlab,Initial,NA,2019-09-26T00:00:00Z,Dlab,RR4,22,NA,RK_NSF_SYM_Initials_14.csv,NaN,NaN,30.571929779052734,29.51888370513916,NA,NA,0.5025630677413575,0.014316441502180484,0,0,2,2,NaN,NaN,0.06286297983695774,14,C,0.059144951917133155,-1.2280823169378339,Rainbow,25 41.482 N,80 5.830 W
116NI,49,Blue,Sbou,Initial,NA,2019-09-26T00:00:00Z,Sint,RR4,24,NA,RK_NSF_SYM_Initials_12.csv,NaN,30.504026412963867,NaN,34.29398727416992,NA,0.3952848397652444,NA,NA,0,2,0,1,NaN,41.496661326877764,NaN,12,B,0,-7,Rainbow,25 41.482 N,80 5.830 W
11NI,6,Green,Ssid,Initial,NA,2019-09-15T00:00:00Z,Ssid,EM5,26,NA,RK_NSF_SYM_Initials_6.csv,NaN,NaN,NaN,30.478999137878418,NA,NA,NA,0.19143031158690452,0,0,0,2,NaN,NaN,NaN,6,D,1,0,Emerald,25 40.641 N,80 5.843 W
120NI,28,Blue,Sint,Initial,NA,2019-09-26T00:00:00Z,Sint,RR1,27,NA,RK_NSF_SYM_Initials_13.csv,NaN,NaN,32.83030494689942,NaN,NA,NA,0.5195539796626453,NA,0,0,2,0,NaN,NaN,NaN,13,C,0,-7,Rainbow,25 41.594 N,80 5.832 W
121NI,12,Blue,Dlab,Initial,NA,2019-09-26T00:00:00Z,Dlab,RR1,25,NA,RK_NSF_SYM_Initials_24.csv,34.76770101928711,34.33233833312988,34.45717987060547,32.560401916503906,NA,0.05666424618677446,NA,0.15991795589227928,1,2,1,2,0.6496179480827886,0.8784463505076074,0.035027275594381,24,B,0.46764516339273005,-0.33008355297409153,Rainbow,25 41.594 N,80 5.832 W
