Location,SampleName,Species,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.D,B.D,C.D,AllSyms,propD,logPropD,Dominant,background,Reef,Latitude,Longitude
Fisher Island Seawall,FI1,Mmea,RK_NSF_FI_1.csv,NaN,29.47385025024414,NaN,36.857486724853516,NA,0.21809004773137947,NA,NA,0,2,0,1,0.06748215462542059,500.9764496649206,1.751791200347619e-4,B,0,-7,B,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI10,Pcli,RK_NSFSYM_FI_7.csv,NaN,31.941776275634766,NaN,35.905765533447266,NA,0.5237754080094964,NA,NA,0,2,0,1,0.06748215462542059,46.816713558666635,1.751791200347619e-4,B,0,-7,B,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI11,Ppor,RK_NSF_FI_1.csv,31.81296812438965,32.165889739990234,NaN,NaN,0.6718760619288972,NA,NA,NA,2,1,0,0,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,A,0,-7,A,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI12,Pcli,RK_NSF_FI_1.csv,NaN,23.843597412109375,NaN,36.08707237243652,NA,0.039487213782462574,NA,1.0718408877527912,0,2,0,2,0.06748215462542059,14547.034504094936,1.751791200347619e-4,Bd,6.873780782679083e-5,-4.1628043224156865,B,D,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI13,Ppor,RK_NSF_FI_1.csv,36.90617071533203,NaN,NaN,36.967201232910156,1.677992142589436,NA,NA,NA,2,0,0,1,3.1296319815368587,0.011346729480177016,1.751791200347619e-4,A,0,-7,A,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI15,Cnat,RK_NSF_Sym_FI_2.csv,NaN,NaN,35.128093566894535,26.58781147003174,NA,NA,NA,0.09063932653358826,0,0,1,2,0.06748215462542059,0.011346729480177016,3.503582400695238e-4,D,1,0,D,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI16,Ofav,RK_NSF_Sym_FI_2.csv,NaN,NaN,NaN,24.940836906433105,NA,NA,NA,0.010612913629831204,0,0,0,2,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,D,1,0,D,,None,25 45.516 N,80 8.6285 W
Fisher Island Outside,FI18,Pstr,RK_NSF_Sym_FI_2.csv,NaN,25.371444702148438,NaN,29.585257530212402,NA,0.138147254175068,NA,0.5955626177915558,0,2,0,2,0.06748215462542059,55.667960714570164,1.751791200347619e-4,Bd,0.017646655842035362,-1.7533375841547345,B,D,None,25 45.382166 N,80 8.162833 W
Fisher Island Outside,FI19,Pcli,RK_NSF_Sym_FI_2.csv,NaN,22.45622444152832,NaN,37.04890441894531,NA,0.11434810893272447,NA,NA,0,2,0,1,0.06748215462542059,74123.45343716479,1.751791200347619e-4,B,0,-7,B,,None,25 45.382166 N,80 8.162833 W
Fisher Island Seawall,FI2,Ssid,RK_NSF_FI_1.csv,NaN,NaN,NaN,27.38646125793457,NA,NA,NA,0.004911962312853634,0,0,0,2,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,D,1,0,D,,None,25 45.516 N,80 8.6285 W
