* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = TAQMAN
* Date Created = 2020-03-10 15:55:38 PM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\Katie\Documents\Shedd Aquarium Coral Research Fellowship\Exumas\Data\qPCR\marinetrip.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2020-03-10 14:30:33 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	HIGHSD	NOAMP
1	A1	false	EX0273	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	10	No Amp		N	N	N
2	A2	false	EX0273	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
3	A3	false	EX0273	C	UNKNOWN	VIC	NFQ-MGB	25.948	25.575	0.529								false	0.010	true	3	25	Amp		N	Y	N
3	A3	false	EX0273	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
4	A4	false	EX0296	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
5	A5	false	EX0296	B	UNKNOWN	FAM	NFQ-MGB	34.128	33.589	0.762								false	0.010	true	3	32	Amp		N	Y	N
6	A6	false	EX0296	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
6	A6	false	EX0296	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
7	A7	false	EX0514	A	UNKNOWN	FAM	NFQ-MGB	30.875	31.390	0.729								false	0.010	true	3	30	Amp		N	Y	N
8	A8	false	EX0514	B	UNKNOWN	FAM	NFQ-MGB	32.697	32.208	0.693								false	0.010	true	3	31	Amp		N	Y	N
9	A9	false	EX0514	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
9	A9	false	EX0514	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
10	A10	false	EX0558	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N
11	A11	false	EX0558	B	UNKNOWN	FAM	NFQ-MGB	32.032	31.805	0.321								false	0.010	true	3	31	Amp		N	N	N
12	A12	false	EX0558	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
12	A12	false	EX0558	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
13	B1	false	EX0273	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	18	No Amp		N	N	N
14	B2	false	EX0273	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
15	B3	false	EX0273	C	UNKNOWN	VIC	NFQ-MGB	25.201	25.575	0.529								false	0.010	true	3	24	Amp		N	Y	N
15	B3	false	EX0273	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
16	B4	false	EX0296	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	25	No Amp		N	N	N
17	B5	false	EX0296	B	UNKNOWN	FAM	NFQ-MGB	33.050	33.589	0.762								false	0.010	true	3	31	Amp		N	Y	N
18	B6	false	EX0296	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
18	B6	false	EX0296	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
19	B7	false	EX0514	A	UNKNOWN	FAM	NFQ-MGB	31.905	31.390	0.729								false	0.010	true	3	31	Inconclusive		N	Y	N
20	B8	false	EX0514	B	UNKNOWN	FAM	NFQ-MGB	31.718	32.208	0.693								false	0.010	true	3	31	Amp		N	Y	N
21	B9	false	EX0514	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
21	B9	false	EX0514	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
22	B10	false	EX0558	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
23	B11	false	EX0558	B	UNKNOWN	FAM	NFQ-MGB	31.578	31.805	0.321								false	0.010	true	3	30	Amp		N	N	N
24	B12	false	EX0558	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
24	B12	false	EX0558	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
25	C1	false	EX0278	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
26	C2	false	EX0278	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
27	C3	false	EX0278	C	UNKNOWN	VIC	NFQ-MGB	26.512	26.495	0.024								false	0.010	true	3	24	Amp		N	N	N
