Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.D,B.D,C.D,Date,Dive Site,Coordinates,Depth (ft),Species,Underwater Tag,Tag,Split,Notes,Location
+,FDEP_DRTO_Colonies_Plate1_ABCD.csv,14.909484256744385,11.367631435394287,11.068605270385742,13.371935367584229,0.018739500372307746,0.40563947750740087,0.1481100948134672,0.13661176019011914,2,2,2,2,1.033410617518979,12.035852553680304,0.6438205991150933,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry Tortugas
210,FDEP_DRTO_Colonies_Plate1_ABCD.csv,NaN,NaN,NaN,26.888530731201172,NA,NA,NA,0.13299252601479164,0,0,0,2,NaN,NaN,NaN,2020-01-28,Site 1,"24º35'.275, 82º58'.767",48,DLAB,DLAB 6,70 Orange,NO,NA,Dry Tortugas
211,FDEP_DRTO_Colonies_Plate1_ABCD.csv,NaN,24.64148235321045,33.71146377563477,NaN,NA,0.05713763958924882,NA,NA,0,2,1,0,NaN,NaN,NaN,2020-01-28,Site 1,"24º35'.275, 82º58'.767",41,DLAB,DLAB 4,69 Orange,NO,NA,Dry Tortugas
212,FDEP_DRTO_Colonies_Plate1_ABCD.csv,NaN,23.495381355285645,23.92879852294922,37.056739807128906,NA,0.09403265360089737,0.010724855659476139,NA,0,2,2,1,NaN,36265.77231957821,1167.6092491154163,2020-01-28,Site 1,"24º35'.275, 82º58'.767",46,OFAV,OFAV 3,68 Orange,YES,NA,Dry Tortugas
213,FDEP_DRTO_Colonies_Plate1_ABCD.csv,NaN,NaN,NaN,26.43095302581787,NA,NA,NA,0.0609409711988719,0,0,0,2,NaN,NaN,NaN,2020-01-28,Site 1,"24º35'.275, 82º58'.767",43,DLAB,DLAB 1,71 Orange,NO,NA,Dry Tortugas
214,FDEP_DRTO_Colonies_Plate1_ABCD.csv,NaN,23.79146671295166,NaN,NaN,NA,0.050229602530919244,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 1,"24º35'.275, 82º58'.767",43,PSTR,PSTR 20,72 Orange,YES,underwater tag says CNAT 3,Dry Tortugas
215,FDEP_DRTO_Colonies_Plate1_ABCD.csv,NaN,23.847036361694336,NaN,32.14297294616699,NA,0.0623449670164668,NA,0.07092269362540396,0,2,0,2,NaN,942.8595597238863,NaN,2020-01-28,Site 1,"24º35'.275, 82º58'.767",44,CNAT,CNAT 1,67 Orange,YES,NA,Dry Tortugas
216,FDEP_DRTO_Colonies_Plate1_ABCD.csv,NaN,24.40592861175537,NaN,NaN,NA,0.1335522361630163,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 1,"24º35'.275, 82º58'.767",43,PSTR,PSTR 1,30 orange,NO,NA,Dry Tortugas
217,FDEP_DRTO_Colonies_Plate1_ABCD.csv,NaN,27.39772319793701,NaN,NaN,NA,0.4372738904753137,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 1,"24º35'.275, 82º58'.767",48,MMEA,MMEA 4,73 orange,NO,NA,Dry Tortugas
218,FDEP_DRTO_Colonies_Plate1_ABCD.csv,NaN,27.704957008361816,NaN,NaN,NA,0.18099407754603097,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 1,"24º35'.275, 82º58'.767",47,MMEA,MMEA 3,74 orange,NO,NA,Dry Tortugas
